FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr,a_count,contains_a
DE000MA40TG3,Open End Turbo Long Fresenius emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA40TH1,Open End Turbo Long Fresenius emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA40TM1,Open End Turbo Long Alstom emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA40VB0,Mini Long Bouygues emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA40VR6,Mini Long Varta emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA40VU0,Mini Long Neoen emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA40WV6,Mini Long Vossloh emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA40YR0,Open End Turbo Long Priceline (Booking Holdings) emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA40ZN6,Mini Long UnitedHealth Group emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA410J7,Mini Long VFC emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA411G1,Mini Long Euronet Worldwide emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA41Q31,Mini Long Siemens Energy emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,2,YES
DE000MA41Q72,Mini Short Palladium emittiert von Morgan Stanley & Co. Int. plc,RFTTPA,True,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA41YE6,Mini Long Vale emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA421N6,Mini Long Sunnova Energy International emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,5,YES
DE000MA42285,Mini Long Ameresco emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA422H6,Mini Long First Solar emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA422L8,Mini Long solaredge emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,3,YES
DE000MA422X3,Mini Long Advanced Micro Devices emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
DE000MA422Y1,Mini Long Advanced Micro Devices emittiert von Morgan Stanley & Co. Int. plc,RFSTCA,False,EUR,4PQUHN3JPFGFNF3BB653,4,YES
